# energy dos
-2.101173556999999903e+01 6.376900000000000013e+00
-2.100173557000000102e+01 7.055699999999999861e+00
-2.099173557000000301e+01 7.833499999999999908e+00
-2.098173557000000500e+01 8.681599999999999540e+00
-2.097173556999999988e+01 9.567700000000000315e+00
-2.096173557000000187e+01 1.045899999999999963e+01
-2.095173557000000386e+01 1.132370000000000054e+01
-2.094173556999999875e+01 1.213330000000000020e+01
-2.093173557000000073e+01 1.286420000000000030e+01
-2.092173557000000272e+01 1.349890000000000079e+01
-2.091173557000000471e+01 1.402619999999999933e+01
-2.090173556999999960e+01 1.444120000000000026e+01
-2.089173557000000159e+01 1.474469999999999992e+01
-2.088173557000000358e+01 1.494170000000000087e+01
-2.087173556999999846e+01 1.504020000000000046e+01
-2.086173557000000045e+01 1.505010000000000048e+01
-2.085173557000000244e+01 1.498179999999999978e+01
-2.084173557000000443e+01 1.484539999999999971e+01
-2.083173556999999931e+01 1.465049999999999919e+01
-2.082173557000000130e+01 1.440600000000000058e+01
-2.081173557000000329e+01 1.412090000000000067e+01
-2.080173556999999818e+01 1.380380000000000074e+01
-2.079173557000000017e+01 1.346449999999999925e+01
-2.078173557000000216e+01 1.311320000000000086e+01
-2.077173557000000415e+01 1.276169999999999938e+01
-2.076173556999999903e+01 1.242229999999999990e+01
-2.075173557000000102e+01 1.210800000000000054e+01
-2.074173557000000301e+01 1.183140000000000036e+01
-2.073173557000000500e+01 1.160430000000000028e+01
-2.072173556999999988e+01 1.143629999999999924e+01
-2.071173557000000187e+01 1.133430000000000071e+01
-2.070173557000000386e+01 1.130180000000000007e+01
-2.069173556999999875e+01 1.133820000000000050e+01
-2.068173557000000073e+01 1.143820000000000014e+01
-2.067173557000000272e+01 1.159259999999999913e+01
-2.066173557000000471e+01 1.178790000000000049e+01
-2.065173556999999960e+01 1.200740000000000052e+01
-2.064173557000000159e+01 1.223230000000000040e+01
-2.063173557000000358e+01 1.244289999999999985e+01
-2.062173556999999846e+01 1.262020000000000053e+01
-2.061173557000000045e+01 1.274789999999999957e+01
-2.060173557000000244e+01 1.281370000000000076e+01
-2.059173557000000443e+01 1.281070000000000064e+01
-2.058173556999999931e+01 1.273820000000000086e+01
-2.057173557000000130e+01 1.260249999999999915e+01
-2.056173557000000329e+01 1.241600000000000037e+01
-2.055173556999999818e+01 1.219679999999999964e+01
-2.054173557000000017e+01 1.196659999999999968e+01
-2.053173557000000216e+01 1.174920000000000009e+01
-2.052173557000000415e+01 1.156780000000000008e+01
-2.051173556999999903e+01 1.144340000000000046e+01
-2.050173557000000102e+01 1.139199999999999946e+01
-2.049173557000000301e+01 1.142370000000000019e+01
-2.048173557000000500e+01 1.154160000000000075e+01
-2.047173556999999988e+01 1.174119999999999919e+01
-2.046173557000000187e+01 1.201099999999999923e+01
-2.045173557000000386e+01 1.233370000000000033e+01
-2.044173556999999875e+01 1.268730000000000047e+01
-2.043173557000000073e+01 1.304710000000000036e+01
-2.042173557000000272e+01 1.338760000000000083e+01
-2.041173557000000471e+01 1.368430000000000035e+01
