# energy s p d
-2.131173557000000329e+01 1.005500000000000060e+00 7.550000000000001155e-02 0.000000000000000000e+00
-2.130173556999999818e+01 9.706000000000000183e-01 7.440000000000000779e-02 0.000000000000000000e+00
-2.129173557000000017e+01 9.379999999999997229e-01 7.349999999999999589e-02 0.000000000000000000e+00
-2.128173557000000216e+01 9.094000000000002082e-01 7.099999999999999367e-02 0.000000000000000000e+00
-2.127173557000000415e+01 8.869000000000002437e-01 6.890000000000000291e-02 0.000000000000000000e+00
-2.126173556999999903e+01 8.717000000000000304e-01 6.829999999999998572e-02 0.000000000000000000e+00
-2.125173557000000102e+01 8.641000000000000902e-01 6.879999999999998617e-02 0.000000000000000000e+00
-2.124173557000000301e+01 8.651000000000002021e-01 6.869999999999998330e-02 0.000000000000000000e+00
-2.123173557000000500e+01 8.733999999999999542e-01 6.819999999999998286e-02 0.000000000000000000e+00
-2.122173556999999988e+01 8.874999999999999556e-01 7.050000000000000711e-02 0.000000000000000000e+00
-2.121173557000000187e+01 9.056000000000002936e-01 7.100000000000000755e-02 0.000000000000000000e+00
-2.120173557000000386e+01 9.252000000000002444e-01 7.280000000000001747e-02 0.000000000000000000e+00
-2.119173556999999875e+01 9.430999999999998273e-01 7.340000000000000691e-02 0.000000000000000000e+00
-2.118173557000000073e+01 9.564000000000000279e-01 7.299999999999999545e-02 0.000000000000000000e+00
-2.117173557000000272e+01 9.632999999999999341e-01 7.380000000000001836e-02 0.000000000000000000e+00
-2.116173557000000471e+01 9.596999999999998865e-01 7.370000000000001550e-02 0.000000000000000000e+00
-2.115173556999999960e+01 9.465999999999999970e-01 7.280000000000000360e-02 0.000000000000000000e+00
-2.114173557000000159e+01 9.222999999999998977e-01 7.089999999999999081e-02 0.000000000000000000e+00
-2.113173557000000358e+01 8.874000000000000776e-01 6.930000000000000049e-02 0.000000000000000000e+00
-2.112173556999999846e+01 8.422000000000000597e-01 6.490000000000001323e-02 0.000000000000000000e+00
-2.111173557000000045e+01 7.910000000000000364e-01 6.179999999999997301e-02 0.000000000000000000e+00
-2.110173557000000244e+01 7.350000000000000977e-01 5.689999999999999225e-02 0.000000000000000000e+00
-2.109173557000000443e+01 6.780000000000000471e-01 5.409999999999999531e-02 0.000000000000000000e+00
-2.108173556999999931e+01 6.244000000000000661e-01 5.150000000000000411e-02 0.000000000000000000e+00
-2.107173557000000130e+01 5.766999999999999904e-01 4.689999999999999725e-02 0.000000000000000000e+00
-2.106173557000000329e+01 5.385000000000002007e-01 4.399999999999999745e-02 0.000000000000000000e+00
-2.105173556999999818e+01 5.130000000000000115e-01 4.399999999999999745e-02 0.000000000000000000e+00
-2.104173557000000017e+01 5.026999999999999247e-01 4.510000000000000120e-02 0.000000000000000000e+00
-2.103173557000000216e+01 5.086000000000000520e-01 4.719999999999999890e-02 0.000000000000000000e+00
-2.102173557000000415e+01 5.316000000000000725e-01 4.800000000000000100e-02 0.000000000000000000e+00
-2.101173556999999903e+01 5.716999999999998749e-01 5.190000000000000863e-02 0.000000000000000000e+00
-2.100173557000000102e+01 6.288000000000000256e-01 5.870000000000000911e-02 0.000000000000000000e+00
-2.099173557000000301e+01 7.000000000000000666e-01 6.629999999999995619e-02 0.000000000000000000e+00
-2.098173557000000500e+01 7.840000000000000302e-01 7.430000000000001881e-02 0.000000000000000000e+00
-2.097173556999999988e+01 8.777999999999998026e-01 8.290000000000001534e-02 0.000000000000000000e+00
-2.096173557000000187e+01 9.779999999999996474e-01 9.160000000000000087e-02 0.000000000000000000e+00
-2.095173557000000386e+01 1.081199999999999939e+00 9.979999999999998594e-02 0.000000000000000000e+00
-2.094173556999999875e+01 1.183600000000000430e+00 1.097999999999999809e-01 0.000000000000000000e+00
-2.093173557000000073e+01 1.283000000000000362e+00 1.184000000000000191e-01 0.000000000000000000e+00
-2.092173557000000272e+01 1.374900000000000455e+00 1.262999999999999123e-01 0.000000000000000000e+00
-2.091173557000000471e+01 1.457599999999999785e+00 1.331999999999999851e-01 0.000000000000000000e+00
-2.090173556999999960e+01 1.527899999999999814e+00 1.398000000000000076e-01 0.000000000000000000e+00
-2.089173557000000159e+01 1.585199999999999942e+00 1.444000000000000006e-01 0.000000000000000000e+00
-2.088173557000000358e+01 1.627899999999999903e+00 1.474999999999999922e-01 0.000000000000000000e+00
-2.087173556999999846e+01 1.655599999999999739e+00 1.494999999999999940e-01 0.000000000000000000e+00
-2.086173557000000045e+01 1.667300000000000226e+00 1.503999999999999782e-01 0.000000000000000000e+00
-2.085173557000000244e+01 1.664699999999999180e+00 1.493999999999999495e-01 0.000000000000000000e+00
-2.084173557000000443e+01 1.648099999999999898e+00 1.492999999999999883e-01 0.000000000000000000e+00
-2.083173556999999931e+01 1.618400000000000283e+00 1.485999999999999821e-01 0.000000000000000000e+00
-2.082173557000000130e+01 1.577899999999999858e+00 1.441000000000000059e-01 0.000000000000000000e+00
-2.081173557000000329e+01 1.528399999999999981e+00 1.397000000000000186e-01 0.000000000000000000e+00
-2.080173556999999818e+01 1.472499999999999698e+00 1.358999999999999930e-01 0.000000000000000000e+00
-2.079173557000000017e+01 1.411900000000000155e+00 1.319999999999999507e-01 0.000000000000000000e+00
-2.078173557000000216e+01 1.350300000000000056e+00 1.267000000000000348e-01 0.000000000000000000e+00
-2.077173557000000415e+01 1.290300000000000002e+00 1.220999999999999724e-01 0.000000000000000000e+00
-2.076173556999999903e+01 1.234200000000000408e+00 1.179999999999999660e-01 0.000000000000000000e+00
-2.075173557000000102e+01 1.184300000000000130e+00 1.156000000000000222e-01 0.000000000000000000e+00
-2.074173557000000301e+01 1.143800000000000372e+00 1.121999999999999942e-01 0.000000000000000000e+00
-2.073173557000000500e+01 1.112900000000000444e+00 1.100999999999999479e-01 0.000000000000000000e+00
-2.072173556999999988e+01 1.093799999999999883e+00 1.091999999999999499e-01 0.000000000000000000e+00
-2.071173557000000187e+01 1.086300000000000265e+00 1.088999999999999690e-01 0.000000000000000000e+00
-2.070173557000000386e+01 1.089600000000000346e+00 1.103999999999999704e-01 0.000000000000000000e+00
-2.069173556999999875e+01 1.102899999999999991e+00 1.127999999999999975e-01 0.000000000000000000e+00
-2.068173557000000073e+01 1.124999999999999778e+00 1.160999999999999949e-01 0.000000000000000000e+00
-2.067173557000000272e+01 1.153699999999999948e+00 1.190999999999999559e-01 0.000000000000000000e+00
-2.066173557000000471e+01 1.185800000000000187e+00 1.236000000000000015e-01 0.000000000000000000e+00
-2.065173556999999960e+01 1.218499999999999917e+00 1.274000000000000132e-01 0.000000000000000000e+00
-2.064173557000000159e+01 1.249500000000000055e+00 1.309999999999999776e-01 0.000000000000000000e+00
-2.063173557000000358e+01 1.275900000000000034e+00 1.343999999999999917e-01 0.000000000000000000e+00
-2.062173556999999846e+01 1.295200000000000129e+00 1.373999999999999944e-01 0.000000000000000000e+00
-2.061173557000000045e+01 1.306699999999999973e+00 1.391000000000000014e-01 0.000000000000000000e+00
-2.060173557000000244e+01 1.308500000000000218e+00 1.401999999999999913e-01 0.000000000000000000e+00
-2.059173557000000443e+01 1.302100000000000257e+00 1.388999999999999679e-01 0.000000000000000000e+00
-2.058173556999999931e+01 1.286699999999999955e+00 1.391999999999999904e-01 0.000000000000000000e+00
-2.057173557000000130e+01 1.265500000000000069e+00 1.371999999999999886e-01 0.000000000000000000e+00
-2.056173557000000329e+01 1.240599999999999925e+00 1.349999999999999811e-01 0.000000000000000000e+00
-2.055173556999999818e+01 1.213999999999999968e+00 1.338999999999999913e-01 0.000000000000000000e+00
-2.054173557000000017e+01 1.189100000000000268e+00 1.316000000000000225e-01 0.000000000000000000e+00
